,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,레이디 버드,Lady Bird,2017,미국,"코미디,드라마",감독,828329700.0,101781.0,828329700.0,101781.0
1,우리의 20세기,20th Century Women,2016,미국,드라마,주연,287148600.0,35296.0,287612600.0,35360.0
2,재키,Jackie,2016,"칠레,프랑스,미국",드라마,주연,209835243.0,26758.0,209985243.0,26788.0
3,매기스 플랜,Maggie's Plan,2015,미국,"코미디,멜로/로맨스",주연,382361800.0,47668.0,382361800.0,47668.0
4,미스트리스 아메리카,Mistress America,2015,미국,"코미디,드라마",주연,65584200.0,7995.0,65584200.0,7995.0
5,알파치노의 은밀한 관계,The Humbling,2014,미국,드라마,주연,143000.0,64.0,143000.0,64.0
6,에덴: 로스트 인 뮤직,Eden,2014,프랑스,드라마,주연,14244300.0,1769.0,14244300.0,1769.0
7,프란시스 하,Frances Ha,2012,미국,"코미디,멜로/로맨스",주연-프란시스역,566652570.0,72372.0,571481570.0,73000.0
8,로라 버서스,Lola Versus,2012,미국,코미디,주연-로라역,,,,
9,방황하는 소녀들,DAMSELS IN DISTRESS,2011,미국,코미디,주연,363000.0,44.0,363000.0,44.0
10,아서,Arthur,2011,미국,코미디,주연-나오미 퀸 역,,,,
